Comment;OS;Variables;English;Russian

;android, ios;AppName;Petus;

Screen titles;android, ios;ZooScreenTitle;Home;Дом
;android, ios;CemeteryScreenTitle;Cemetery;Погост
;android, ios;WeatherScreenTitle;Weather;Погода
;android, ios;ProfileScreenTitle;Profile;Профиль

User profile;android, ios;ProfileScreenLanguagesLabel;Languages;Языки
;android, ios;ProfileScreenInventoryLabel;Inventory;Инвентарь
;android, ios;ProfileScreenAbilitiesLabel;Abilities;Способности
;android, ios;LanguageKnowledgeTitleCatus;Catus language;Язык Катуса
;android, ios;LanguageKnowledgeTitleDogus;Dogus language;Язык Догуса
;android, ios;LanguageKnowledgeTitleFrogus;Frogus language;Язык Фрогуса
;android, ios;ZooSizeTitle;Home size;Размер дома
;android, ios;ProfileScreenMiscLabel;Misc;Прочее

Zoo screen;android, ios;CreatePetButtonTitle;Create new pet;Создать нового пета

Pet creation screen;android, ios;PetCreationScreenSelectPetType;Select pet type;Выбери тип пета
;android, ios;PetCreationScreenEnterPetName;Enter pet name:;Введи имя пета:
;android, ios;PetCreationScreenEnterPetNameHint;Pet name;Имя пета
;android, ios;PetCreationScreenPetTypeDogus;dogus;догуса
;android, ios;PetCreationScreenPetTypeCatus;catus;катуса
;android, ios;PetCreationScreenPetTypeFrogus;frogus;фрогуса
;android;PetCreationScreenButtonTemplate;Create %s %s;Создать %s %s
;ios;PetCreationScreenButtonTemplate;Create %@ %@;Создать %@ %@

Pet descriptions;android, ios;PetTypeDescriptionCatus;Catus: sleeps 2 hours, awake for 1 hour. Likes warm sunny days. Likes small wind.;Катус: спит 2 часа, бодрствует 1 час. Любит теплые солнечные дни. Любит легкий ветерок.
;android, ios;PetTypeDescriptionDogus;Dogus: sleeps 1 hour, awake for 2 hours. Likes warm sunny days. Likes medium wind.;Догус: спит 1 час, бодрствует 2 часа. Любит теплые солнечные дни. Любит средний ветер.
;android, ios;PetTypeDescriptionFrogus;Frogus: sleeps 1.5 hours, awake for 1.5 hours. Likes cold cloudy days. Does not like wind.;Фрогус: спит 1,5 часа, бодрствует 1,5 часа. Любит прохладные пасмурные дни. Не любит ветер.

Item names;android, ios;Necronomicon;Necronomicon;Некрономикон
;android, ios;PieceOfCloth;Piece of cloth;Кусок ткани
;android, ios;MysteriousBook;Mysterious book;Загадочная книга
;android, ios;Fish;Fish;Рыба
;android, ios;FrogusEgg;Frogus egg;Яйцо Фрогуса
;android;InventoryItemPattern;%s (x%d);%s (x%d)
;ios;InventoryItemPattern;%@ (x%d);%@ (x%d)

Abilities names;android, ios;Necromancy;Necromancy;Некромантия

Notifications;android;NotificationInventoryItemAdded;%s added;Добавлено: %s
Notifications;ios;NotificationInventoryItemAdded;%@ added;Добавлено: %@
;android;NotificationInventoryItemRemoved;%s removed;Удалено: %s
;ios;NotificationInventoryItemRemoved;%@ removed;Удалено: %@

History events;android, ios;HistoryEventPetCreated;Created;Создан
;android, ios;HistoryEventPetWakeUp;Wake up;Проснулся
;android, ios;HistoryEventPetForciblyWakeUp;Forcibly wake up;Был разбужен
;android, ios;HistoryEventPetSleep;Fall asleep;Уснул
;android, ios;HistoryEventPetGetIll;Get ill;Заболел
;android, ios;HistoryEventPetGetHealed;Get healed;Вылечен
;android, ios;HistoryEventPetFeed;Been fed;Накормлен
;android, ios;HistoryEventPetPlay;Played with;Со мной поиграли
;android, ios;HistoryEventPetDied;Died;Умер
;android, ios;HistoryEventPetCleanUp;Cleaned up;За мной прибрали
;android, ios;HistoryEventPetBecomeNewborn;Become newborn;Родился
;android, ios;HistoryEventPetBecomeTeen;Become teen;Стал подростком
;android, ios;HistoryEventPetBecomeAdult;Become adult;Стал взрослым
;android, ios;HistoryEventPetBecomeOld;Become old;Стал старым
;android, ios;HistoryEventPetBuried;Buried;Похоронен
;android, ios;HistoryEventPetResurrected;Resurrected;Воскрешен
;android, ios;HistoryEventPetPoop;Pooped;Покакал

Pet state description dialogs;android, ios;IAmSick;I am sick, do you have any medicine?;Я болею, у тебя найдется какое-нибудь лекарство?
;android, ios;IAmSickLatin;Aeger sum, habesne medicamentum aliquod?;
;android, ios;IAmHungry;I am hungry, give me some food.;Я голодный, дай что-нибудь поесть.
;android, ios;IAmHungryLatin;Esurio, da mihi cibum.;
;android, ios;IPooped;I pooped (it would be nice if you clean after me).;Я сходил в туалет (будет неплохо если ты уберешь за мной).
;android, ios;IPoopedLatin;Cacavi (gratum esset si post me lavares).;
;android, ios;IAmBored;I am bored, wanna play?;Мне скучно, поиграем?
;android, ios;IAmBoredLatin;Taedet me, ludere vis?;
;android, ios;IAmHalfHp;I do not feel so good, need some rest.;Что-то мне не хорошо, надо бы отдохнуть.
;android, ios;IAmHalfHpLatin;Non tam bene me habeo, requie mihi opus est.;
;android, ios;IAmGood;I am fine.;Всё хорошо.
;android, ios;IAmGoodLatin;Bene sum.;


Dialogs;android, ios;WhatIsGoingOnWithYou;What is going on with you?;Как дела?
;android, ios;WhatIsGoingOnWithYouLatin;Quid tecum agitur?;Quid tecum agitur?
;android, ios;BeenBetter;Been better.;Бывало и получше.
;android, ios;IAmOkayHowAreYou;I am fine, how are you?;Порядок, как сам?
;android, ios;IShouldGo;I should go.;Мне пора.
;android, ios;SeeYa;See ya.;Бывай.
;android, ios;ByeBye;Bye bye.;Пока-пока.
;android, ios;Sure;Sure;Угу
;android, ios;Ok;Ok;Окей
;android, ios;Thanks;Thanks;Пасиб
;android, ios;Use;Use;Использовать
;android, ios;Destroy;Destroy;Уничтожить
;android, ios;NecronomiconStage3AnswerOption0;Do you know anything about the dug grave?;Ты знаешь что-нибудь про разрытую могилу?
;android, ios;NecronomiconStage3CommonDialog;Nope, do not know anything;Неа, ничего не знаю
;android, ios;NecronomiconStage3DogDialog;I do not know anything but we could investigate, bring me something from there.;Я ничего не знаю, но можно расследовать. Принеси мне что-нибудь оттуда.
;android, ios;NecronomiconStage3DogDialogAnswerOption0;Ok, I will see what I can find;Океюшки, посмотрю что я смогу найти
;android, ios;NecronomiconStage5AnswerOption0;Look what I have found near the grave;Смотри что я нашла на у могилы
;android, ios;NecronomiconStage5DogDialog;Hmm, interesting, let me see where it will lead me…;Хмм, интересно, посмотрим что можно с этим сделать…
;android, ios;NecronomiconStage6AnswerOption0;Have you found anything?;Ты нашел что нибудь?
;android, ios;NecronomiconStage6DogDialog;No, not yet, but I am searching.;Не, пока что ничего, но я в процессе
;android, ios;NecronomiconStage7DogDialog0;Look, I have found this strange book on ritual site. Take it.;Смотри-ка, нашел какое-то место для ритуалов и вот эту странную книгу. Возьми её.
;android, ios;NecronomiconStage7AnswerOption0;Thanks, do you know who can help me with it?;Спасибо, знаешь кого-нибудь кто может мне с ней помочь?
;android, ios;NecronomiconStage7DogDialog1;Try to ask catus they usually more experienced in wisdom stuff, the older the better.;Попробуй спросить катуса, они обычно лучше разбираются в мудрёных делах, чем старше тем лучше
;android, ios;NecronomiconStage7DogDialog2;One more thing, at the same ritual site I have found the body of the lost pet. Poor guy. Do not worry I will return him back to his grave.;Да, ещё кое-что. На том самом месте для ритуалов я нашел тело пропавшего пета. Бедняга. Не волнуйся я верну его обратно в его могилу.
;android, ios;NecronomiconStage8AnswerOption0;[Show the book] Do you know anything about this book?;[Показать книгу] Знаешь что-нибудь про эту книгу?
;android, ios;NecronomiconStage8Dialog0;What is this? I can sense some magic but I am not sure…;Это что такое? Я чувствую какую-то магию, но вообще не уверен…
;android, ios;NecronomiconStage8Dialog1;Ahh, yes, I know what it is. This is Necronomicon. Very dangerous stuff, I recommend to destroy it right away, nothing good will come from it. However I can also teach you how to use it. Your choice. So do you want to use it or destroy it?;Ааа, ну да, я знаю что это такое. Это Некрономикон. Очень опасная штука. Я советую сразу его уничтожить, ничего хорошего он не принесёт. Хотя конечно я могу научить тебя пользоваться им. Выбор за тобой. Ну так что, хочешь использовать его или уничтожить?
;android, ios;ObtainFrogusStage1Answer0;Hey buddy, I have noticed you barely touch your food, what is going on?;Эй приятель, я заметила что ты почти не ешь, с тобой всё в порядке?
;android, ios;ObtainFrogusStage1Dialog0;Yeah, you know what, I think I want some fish, could you catch me some? There is a lake nearby I think you can try there.;Хмм… знаешь что, пожалуй мне хочется рыбки, сможешь наловить для меня? Тут недалеко есть озеро, думаю ты можешь попробовать что-нибудь там.
;android, ios;ObtainFrogusStage1Answer1;All right, let us see what I can do. I think I will come up with something on next day.;Океюшки, посмотрим что мне удастся сделать. Думаю что-нибудь придумаю на следующий день.
;android, ios;ObtainFrogusStage3Answer0;Oi mate, here is fish you have asked for. From very same lake you described.;Эй, дружище, вот рыба, про которую ты спрашивал. С того самого озера.
;android, ios;ObtainFrogusStage3Dialog0;Cheers mate, that is what I am talking about! Real fresh fish, el belissimo! Now I know this lake is good, think I will spend some time there by myself. Thanks again!;Спасибо, братуха, вот это я понимаю! Настоящая свежая рыба, el belissimo! Теперь, когда я знаю что это озеро хорошее, думаю провести там какое-то время самому. Ещё раз спасибо!
;android, ios;ObtainFrogusStage3Answer1;No problem!;Без проблем!
;android, ios;ObtainFrogusStage5Answer0;Hey, what is that you are playing with?;Эй, с чем это ты играешь?
;android, ios;ObtainFrogusStage5Dialog0;Ah, found it on the lake. Round and rolling! Also smells like slime but it is okay. Here, take it, I am done playing with it.;Аа, нашел на озере. Круглое и катается! К тому что пахнет тиной, но это ничего. На возьми себе, я уже с ним наигрался.
;android, ios;ObtainFrogusStage5Answer1;Thank you, I think I know what to do with it.;Спасибо, думаю я знаю что с этим делать.
